layer,campaign,contract,pair,group,arm,n,mean_cpu_per_req_ms,spread_pct
repeat,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,ba,target-a,3,0.071914,0.4955
repeat,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,ba,target-b,3,0.076324,0.7776
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,ab,target-a,3,1.073109,1.0177
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,ab,target-b,3,0.270821,1.1707
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,ba,target-a,3,1.076376,1.4139
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,ba,target-b,3,0.272681,0.9311
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,ab,target-a,3,0.141744,0.8880
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,ab,target-b,3,0.121973,0.8860
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,ba,target-a,3,0.145469,0.3793
repeat,20260810T131208Z-hibernate-vs-jdbc-n3,light,1-hibernate-vs-jdbc,ba,target-b,3,0.123027,1.1859
repeat,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,ab,target-a,3,1.059718,0.2044
repeat,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,ab,target-b,3,1.027678,0.7804
repeat,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,ba,target-a,3,1.059446,0.2085
repeat,20260811T114140Z-security-confound-n3,heavy,1-sec-vs-nosec,ba,target-b,3,1.026323,0.8602
repeat,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,ab,target-a,3,0.143935,1.7503
repeat,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,ab,target-b,3,0.116220,1.0668
repeat,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,ba,target-a,3,0.146113,1.2030
repeat,20260811T114140Z-security-confound-n3,light,1-sec-vs-nosec,ba,target-b,3,0.117209,1.1553
