epoch_ms,component,cpu_pct,mem_mb
1787387004000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787387004000,target-jvm,3.33,
1787387009000,exeris-e2e-saga-postgres,8.78,123.90
1787387009000,exeris-e2e-saga-payment-gateway,7.90,14.73
1787387009000,target-jvm,3.67,
1787387014000,exeris-e2e-saga-postgres,4.24,123.60
1787387014000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787387014000,target-jvm,3.33,
1787387019000,exeris-e2e-saga-postgres,8.56,123.60
1787387019000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787387019000,target-jvm,3.00,
1787387024000,exeris-e2e-saga-postgres,4.20,123.60
1787387024000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787387024000,target-jvm,3.67,
